ano;cnae_2_descricao_secao;variable;salario_medio
2009;Atividades Administrativas E Serviços Complementares;Demissões;777.4316300845751
2009;Atividades Financeiras, De Seguros E Serviços Relacionados;Admissões;1339.0474134948097
2009;Atividades Financeiras, De Seguros E Serviços Relacionados;Demissões;2544.9513965341484
2009;Atividades Imobiliárias;Admissões;708.2644827586206
2009;Atividades Imobiliárias;Demissões;916.3921568627451
2009;Atividades Profissionais, Científicas E Técnicas;Admissões;851.296830732293
2009;Atividades Profissionais, Científicas E Técnicas;Demissões;770.8975958702065
2009;"Comércio; Reparação De Veículos Automotores E Motocicletas";Admissões;712.0408198410362
2009;"Comércio; Reparação De Veículos Automotores E Motocicletas";Demissões;798.4590292459478
2009;Construção;Admissões;671.9982585803432
2009;Construção;Demissões;727.8400068415052
2009;Educação;Admissões;901.0521753986333
2009;Educação;Demissões;1398.8527538155276
2009;Eletricidade E Gás;Demissões;508.0
2009;Indústrias De Transformação;Admissões;1030.3328418935644
2009;Indústrias De Transformação;Demissões;1362.1323162134945
2009;Informação E Comunicação;Admissões;978.375888088173
2009;Informação E Comunicação;Demissões;1105.4933616569303
2009;Organismos Internacionais E Outras Instituições Extraterritoriais;Admissões;643.375
2009;Organismos Internacionais E Outras Instituições Extraterritoriais;Demissões;627.7142857142857
2009;Outras Atividades De Serviços;Admissões;754.6599315068493
2009;Outras Atividades De Serviços;Demissões;929.6163157894737
2009;Saúde Humana E Serviços Sociais;Admissões;786.695036028823
2009;Saúde Humana E Serviços Sociais;Demissões;889.5818330134357
2009;Serviços Domésticos;Admissões;689.75
2009;Serviços Domésticos;Demissões;505.0
2009;Transporte, Armazenagem E Correio;Admissões;757.8950077760497
2009;Transporte, Armazenagem E Correio;Demissões;849.746268246245
2009;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;Admissões;814.1078431372549
2009;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;Demissões;921.2313333333334
2010;Administração Pública, Defesa E Seguridade Social;Admissões;656.2700105894811
2010;Administração Pública, Defesa E Seguridade Social;Demissões;565.7856160810188
2010;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;Admissões;510.2862068965517
2010;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;Demissões;516.125
2010;Alojamento E Alimentação;Admissões;659.8161663260092
2010;Alojamento E Alimentação;Demissões;718.2359698212716
2010;Artes, Cultura, Esporte E Recreação;Admissões;517.4563311688312
2010;Artes, Cultura, Esporte E Recreação;Demissões;469.9485365853659
2010;Atividades Administrativas E Serviços Complementares;Admissões;696.5298907638379
2010;Atividades Administrativas E Serviços Complementares;Demissões;757.5231695568401
2010;Atividades Financeiras, De Seguros E Serviços Relacionados;Admissões;1362.6797437266418
2010;Atividades Financeiras, De Seguros E Serviços Relacionados;Demissões;2097.4246051660516
2010;Atividades Imobiliárias;Admissões;717.5036082474228
2010;Atividades Imobiliárias;Demissões;828.2266666666667
2010;Atividades Profissionais, Científicas E Técnicas;Admissões;732.5370303712036
2010;Atividades Profissionais, Científicas E Técnicas;Demissões;987.3672424979725
2010;"Comércio; Reparação De Veículos Automotores E Motocicletas";Admissões;742.3939566810258
2010;"Comércio; Reparação De Veículos Automotores E Motocicletas";Demissões;825.8640640513968
2010;Construção;Admissões;724.8801803704907
2010;Construção;Demissões;794.6872349683545
2010;Educação;Admissões;868.3829197994987
2010;Educação;Demissões;1099.7918504435995
2010;Eletricidade E Gás;Admissões;2854.0
2010;Eletricidade E Gás;Demissões;3563.0
2010;Indústrias De Transformação;Admissões;1165.5778827937963
2010;Indústrias De Transformação;Demissões;1297.654813428018
2010;Informação E Comunicação;Admissões;854.2257112638816
2010;Informação E Comunicação;Demissões;1125.8461183059153
2010;Organismos Internacionais E Outras Instituições Extraterritoriais;Admissões;873.8966789667896
2010;Organismos Internacionais E Outras Instituições Extraterritoriais;Demissões;732.9375
2010;Outras Atividades De Serviços;Admissões;708.8092564745197
2010;Outras Atividades De Serviços;Demissões;889.9049273959342
2010;Saúde Humana E Serviços Sociais;Admissões;858.2685011529593
2010;Saúde Humana E Serviços Sociais;Demissões;884.8789180327869
2010;Serviços Domésticos;Admissões;575.4583333333334
2010;Serviços Domésticos;Demissões;548.3333333333334
2010;Transporte, Armazenagem E Correio;Admissões;852.3400702155453
2010;Transporte, Armazenagem E Correio;Demissões;931.9350709426628
2010;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;Admissões;970.5621621621622
2010;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;Demissões;1111.7941176470588
2011;Administração Pública, Defesa E Seguridade Social;Admissões;757.7323584354933
2011;Administração Pública, Defesa E Seguridade Social;Demissões;751.2801143074871
2011;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;Admissões;622.1
2011;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;Demissões;417.973125
2011;Alojamento E Alimentação;Admissões;706.9111547344111
2011;Alojamento E Alimentação;Demissões;781.6386595030222
2011;Artes, Cultura, Esporte E Recreação;Admissões;682.8643859649123
2011;Artes, Cultura, Esporte E Recreação;Demissões;766.6549339207049
2011;Atividades Administrativas E Serviços Complementares;Admissões;812.5035506487227
2011;Atividades Administrativas E Serviços Complementares;Demissões;901.8909861219703
2011;Atividades Financeiras, De Seguros E Serviços Relacionados;Admissões;1559.0695837957826
2011;Atividades Financeiras, De Seguros E Serviços Relacionados;Demissões;2789.5412112932604
