desc_cod_escoa_sanitario_domic_fam;cod_familiar_fam
Vala a céu aberto;1340575388
Fossa rudimentar;1340577089
Vala a céu aberto;1342535588
Fossa rudimentar;1380382106
Fossa rudimentar;1380382440
Vala a céu aberto;1380383099
Fossa rudimentar;1380383170
Vala a céu aberto;1380383684
Vala a céu aberto;1380384141
Vala a céu aberto;1380384222
Fossa séptica;1380385032
Vala a céu aberto;1380386004
;1380387400
Fossa séptica;1380388805
Vala a céu aberto;1380389704
Direto para um rio, lago ou mar;1380390036
Vala a céu aberto;1380390117
Vala a céu aberto;1380390389
Vala a céu aberto;1380390621
Fossa rudimentar;1380391946
Outra forma;1393821600
Vala a céu aberto;1393822592
Fossa rudimentar;1393822754
Vala a céu aberto;1404135537
Fossa rudimentar;1404135880
Vala a céu aberto;1404135960
Fossa rudimentar;1404136185
Vala a céu aberto;1404136347
Fossa rudimentar;1404137408
Vala a céu aberto;1404138390
Direto para um rio, lago ou mar;1404138633
Outra forma;1404138714
Vala a céu aberto;1404138986
Fossa rudimentar;1404139010
Fossa rudimentar;1404139109
Vala a céu aberto;1404139362
Outra forma;1404139605
Fossa séptica;1404141693
Fossa séptica;1404142312
Fossa rudimentar;1404142401
Outra forma;1404142827
Fossa séptica;1404142908
Vala a céu aberto;1404143041
Vala a céu aberto;1404143394
Vala a céu aberto;1404144447
;1404144951
Fossa séptica;1404145176
Outra forma;1404145338
Outra forma;1404145508
Fossa séptica;1404145761
Vala a céu aberto;1404145842
Vala a céu aberto;1404146229
Vala a céu aberto;1404146814
Vala a céu aberto;1404146903
Vala a céu aberto;1404147039
Vala a céu aberto;1404148000
Vala a céu aberto;1404148787
Vala a céu aberto;1404149082
Vala a céu aberto;1404149244
Outra forma;1404149406
Vala a céu aberto;1404149759
Direto para um rio, lago ou mar;1404150412
Vala a céu aberto;1404150684
Vala a céu aberto;1404150765
Vala a céu aberto;1404150927
Vala a céu aberto;1404151222
Fossa rudimentar;1404151303
Vala a céu aberto;1404151656
Fossa rudimentar;1404151818
Vala a céu aberto;1422663884
;1422664937
Fossa rudimentar;1422665232
Vala a céu aberto;1422665313
Fossa rudimentar;1422665402
Fossa rudimentar;1422666204
Vala a céu aberto;1422667367
Vala a céu aberto;1422669491
Vala a céu aberto;1422669653
Fossa séptica;1404152202
Fossa rudimentar;1404152466
Vala a céu aberto;1404152628
;1404153195
Fossa rudimentar;1404153357
Fossa séptica;1404153438
Fossa rudimentar;1404153519
Vala a céu aberto;1404153861
Vala a céu aberto;1404154086
Vala a céu aberto;1404154167
Vala a céu aberto;1404154248
Vala a céu aberto;1404154400
Outra forma;1404154590
Vala a céu aberto;1406775932
Vala a céu aberto;1406776661
Vala a céu aberto;1406776904
Vala a céu aberto;1406778443
Outra forma;1406778796
Vala a céu aberto;1406778877
Outra forma;1406779687
Vala a céu aberto;1406779849
;1406780421
Vala a céu aberto;1406780774
Vala a céu aberto;1406781312
Vala a céu aberto;1406782122
Vala a céu aberto;1406782556
Vala a céu aberto;1406783447
Fossa séptica;1406784095
Vala a céu aberto;1406784176
Vala a céu aberto;1406784508
Vala a céu aberto;1406784923
Vala a céu aberto;1406785814
Vala a céu aberto;1406785903
Vala a céu aberto;1406786039
Outra forma;1406786209
Fossa séptica;1406787434
Vala a céu aberto;1406787787
Vala a céu aberto;1406787868
Vala a céu aberto;1406788244
;1406789054
Direto para um rio, lago ou mar;1406789569
Vala a céu aberto;1406789720
Fossa séptica;1406791385
Vala a céu aberto;1406791466
Vala a céu aberto;1406792608
Vala a céu aberto;1406792780
Vala a céu aberto;1406793248
;1406793590
Vala a céu aberto;1406793671
Vala a céu aberto;1406794805
Outra forma;1406795534
Direto para um rio, lago ou mar;1406795887
Outra forma;1406796000
Vala a céu aberto;1406796425
Fossa séptica;1406796697
Vala a céu aberto;1407816179
Direto para um rio, lago ou mar;1407817655
Outra forma;1407817817
Vala a céu aberto;1407818031
Vala a céu aberto;1407819275
Direto para um rio, lago ou mar;1407819518
Vala a céu aberto;1407819860
Vala a céu aberto;1407820796
Outra forma;1407821091
Vala a céu aberto;1407821253
Vala a céu aberto;1407821415
Fossa rudimentar;1407822306
Fossa séptica;1407823035
Fossa séptica;1407823701
Vala a céu aberto;1407824279
Vala a céu aberto;1407824945
Fossa séptica;1407825755
Fossa séptica;1407825917
Fossa rudimentar;1407826212
Vala a céu aberto;1407826301
Vala a céu aberto;1407827103
Fossa rudimentar;1407828770
Vala a céu aberto;1407828932
Fossa rudimentar;1407829076
Vala a céu aberto;1407829238
Vala a céu aberto;1407830597
Fossa rudimentar;1407831216
Fossa séptica;1407831305
Fossa rudimentar;1407831569
Fossa rudimentar;1407831992
Fossa rudimentar;1407832450
Fossa séptica;1407832611
Fossa rudimentar;1407832700
Fossa séptica;1407833340
;1407835203
Vala a céu aberto;1407836285
Fossa séptica;1407837842
Fossa rudimentar;1407837923
Fossa rudimentar;1407838571
Vala a céu aberto;1407839381
Fossa séptica;1407839977
Fossa séptica;1407840550
Fossa séptica;1407841602
Vala a céu aberto;1407842331
Fossa séptica;1407842412
Outra forma;1407843060
Fossa rudimentar;1407843141
Vala a céu aberto;1407844385
Outra forma;1407846167
Vala a céu aberto;1407847643
Vala a céu aberto;1407847724
Outra forma;1407847996
Vala a céu aberto;1407849344
Fossa séptica;1407849930
Fossa rudimentar;1407850512
Vala a céu aberto;1407851675
Fossa séptica;1407852990
Fossa séptica;1407853880
Fossa rudimentar;1407854500
Vala a céu aberto;1407854690
Fossa séptica;1407855409
Fossa rudimentar;1407855905
Fossa séptica;1407856049
Vala a céu aberto;1407856472
Vala a céu aberto;1407856804
Vala a céu aberto;1407857100
Fossa séptica;1407857444
Vala a céu aberto;1407863410
Vala a céu aberto;1407863681
Vala a céu aberto;1407863762
Vala a céu aberto;1407863843
Vala a céu aberto;1407864149
Vala a céu aberto;1407864220
Fossa séptica;1407864300
Vala a céu aberto;1412361320
Vala a céu aberto;1412362806
Vala a céu aberto;1412362997
Fossa séptica;1412363888
Fossa rudimentar;1412364426
Outra forma;1412365902
Vala a céu aberto;1412366550
;1412367280
Vala a céu aberto;1412368847
Fossa rudimentar;1412368928
Fossa séptica;1412369142
Vala a céu aberto;1412369576
Vala a céu aberto;1412369738
Vala a céu aberto;1412369819
Fossa séptica;1412371120
Fossa rudimentar;1414729367
Vala a céu aberto;1414731698
Vala a céu aberto;1414732902
Fossa rudimentar;1414733046
Outra forma;1414733208
Vala a céu aberto;1414734603
Vala a céu aberto;1414735766
Fossa rudimentar;1414736142
Vala a céu aberto;1414738358
Vala a céu aberto;1414739320
Fossa rudimentar;1414740174
Fossa séptica;1414741731
Direto para um rio, lago ou mar;1414741812
Vala a céu aberto;1414741901
Outra forma;1414743432
;1414743513
Direto para um rio, lago ou mar;1414745052
Outra forma;1414745729
;1414746105
Fossa rudimentar;1414748582
Vala a céu aberto;1414748744
Fossa séptica;1414748906
Fossa rudimentar;1414749040
Outra forma;1414751451
Vala a céu aberto;1414751702
Outra forma;1414752180
Fossa séptica;1414752423
Outra forma;1414752938
Fossa rudimentar;1414753314
Outra forma;1414753748
Outra forma;1414754043
Fossa rudimentar;1414756178
;1414756763
;1414756925
Vala a céu aberto;1414757816
Vala a céu aberto;1414759002
Vala a céu aberto;1414759517
Vala a céu aberto;1414759860
Fossa séptica;1414759940
Outra forma;1414760795
Direto para um rio, lago ou mar;1414760876
Vala a céu aberto;1414761333
Vala a céu aberto;1414761414
Vala a céu aberto;1414761686
Vala a céu aberto;1414762577
Vala a céu aberto;1414763204
Vala a céu aberto;1414763387
Fossa séptica;1414763549
Vala a céu aberto;1414764278
Fossa rudimentar;1414764430
Fossa séptica;1414764782
;1418425630
Vala a céu aberto;1418426792
Outra forma;1418427683
Fossa rudimentar;1418428302
Fossa rudimentar;1418430129
Fossa séptica;1418430200
Fossa séptica;1418431605
Vala a céu aberto;1418431796
Fossa rudimentar;1418431877
Fossa rudimentar;1418432768
Vala a céu aberto;1418433578
Vala a céu aberto;1418434035
Fossa séptica;1418435430
Vala a céu aberto;1418436089
Vala a céu aberto;1418436321
;1418436917
Vala a céu aberto;1418437646
Vala a céu aberto;1418438375
Fossa rudimentar;1418438707
Outra forma;1418439002
Fossa séptica;1418439690
Vala a céu aberto;1418440272
Fossa séptica;1418440868
Fossa séptica;1418442569
Vala a céu aberto;1418444006
Fossa séptica;1418444774
Outra forma;1418445150
Vala a céu aberto;1418446041
Fossa séptica;1418447609
Direto para um rio, lago ou mar;1418448419
Fossa rudimentar;1418449300
Direto para um rio, lago ou mar;1418449571
Vala a céu aberto;1418449903
Vala a céu aberto;1418450154
Vala a céu aberto;1418450901
Vala a céu aberto;1418451983
Vala a céu aberto;1418452106
;1418452874
Vala a céu aberto;1422662560
Outra forma;1422670660
Fossa rudimentar;1422671801
Fossa séptica;1422672018
Fossa séptica;1422672280
Vala a céu aberto;1422672522
Fossa rudimentar;1422673090
Vala a céu aberto;1422673413
Direto para um rio, lago ou mar;1422673685
Vala a céu aberto;1422673766
Vala a céu aberto;1422674819
Fossa rudimentar;1422678644
;1422678997
Fossa rudimentar;1422679020
Vala a céu aberto;1422679101
Vala a céu aberto;1422679373
Vala a céu aberto;1422679705
Vala a céu aberto;1422680118
Fossa séptica;1422680207
Direto para um rio, lago ou mar;1422680975
Vala a céu aberto;1422681785
Fossa séptica;1422682080
Fossa séptica;1422682161
Fossa rudimentar;1422682242
Vala a céu aberto;1422684709
Fossa séptica;1422685004
Fossa séptica;1422685691
;1422686744
Fossa séptica;1422688526
;1422688879
Outra forma;1422689336
Vala a céu aberto;1422690261
Vala a céu aberto;1422691314
;1422692124
Vala a céu aberto;1422692396
Vala a céu aberto;1422693791
Outra forma;1422693872
Vala a céu aberto;1422694097
Fossa rudimentar;1422694410
Outra forma;1422695069
Direto para um rio, lago ou mar;1422696545
Vala a céu aberto;1422697355
Fossa rudimentar;1422699218
Fossa rudimentar;1422700240
Outra forma;1422700755
Vala a céu aberto;1422701999
Vala a céu aberto;1422702880
Vala a céu aberto;1422703185
Vala a céu aberto;1422703509
Outra forma;1422703690
Vala a céu aberto;1422703770
Fossa rudimentar;1422703851
Vala a céu aberto;1422705129
Vala a céu aberto;1422706109
Vala a céu aberto;1422706605
Fossa séptica;1422707091
Fossa séptica;1422707768
Fossa séptica;1422708063
Vala a céu aberto;1422708497
Direto para um rio, lago ou mar;1422708578
Vala a céu aberto;1422708810
Fossa séptica;1422709892
Vala a céu aberto;1422711870
Vala a céu aberto;1422713067
Fossa séptica;1422713148
Vala a céu aberto;1422714462
Vala a céu aberto;1422715515
Vala a céu aberto;1426344503
Outra forma;1426344767
;1426345909
;1426348592
Vala a céu aberto;1426348916
Outra forma;1426350228
Vala a céu aberto;1426351542
Vala a céu aberto;1431899569
Vala a céu aberto;1431900320
Vala a céu aberto;1431902616
Vala a céu aberto;1426352948
Fossa rudimentar;1426353081
Fossa rudimentar;1426354304
Vala a céu aberto;1426355106
Vala a céu aberto;1426355378
Vala a céu aberto;1426355530
Vala a céu aberto;1426355700
Vala a céu aberto;1426356501
Vala a céu aberto;1426357230
Vala a céu aberto;1426358202
Vala a céu aberto;1426358474
Fossa séptica;1426359284
Fossa rudimentar;1426360029
Fossa rudimentar;1426360290
Vala a céu aberto;1426360614
Outra forma;1426361181
Vala a céu aberto;1426361262
Outra forma;1426361424
Fossa séptica;1427475059
Vala a céu aberto;1427475806
Vala a céu aberto;1427478317
Fossa rudimentar;1427478660
;1427479208
Outra forma;1427479550
Vala a céu aberto;1427479631
;1427481377
Direto para um rio, lago ou mar;1427481539
;1427482500
Direto para um rio, lago ou mar;1427482934
Outra forma;1427484554
Vala a céu aberto;1427484716
Fossa rudimentar;1427485283
Fossa rudimentar;1427485607
Vala a céu aberto;1427487227
Vala a céu aberto;1427487499
Fossa rudimentar;1427487650
Vala a céu aberto;1427487731
Vala a céu aberto;1427489190
Fossa rudimentar;1427489602
Direto para um rio, lago ou mar;1427490368
Fossa rudimentar;1427493626
Outra forma;1427496056
Vala a céu aberto;1431899305
Vala a céu aberto;1431903698
Fossa séptica;1431903930
Fossa séptica;1431906875
Vala a céu aberto;1431907502
Vala a céu aberto;1431908576
Vala a céu aberto;1431910120
Vala a céu aberto;1431910988
Vala a céu aberto;1431911798
Vala a céu aberto;1431912506
Outra forma;1431913146
Vala a céu aberto;1431914037
Fossa séptica;1431914118
Vala a céu aberto;1431914541
Vala a céu aberto;1434898016
Vala a céu aberto;1434898369
Outra forma;1442654864
Vala a céu aberto;1442655240
Outra forma;1442655593
Vala a céu aberto;1442655836
Fossa séptica;1442656646
Vala a céu aberto;1442657456
Vala a céu aberto;1434900363
Vala a céu aberto;1434900878
Fossa séptica;1434901173
;1434901688
Vala a céu aberto;1434901769
Fossa rudimentar;1434901840
Fossa rudimentar;1434902064
Outra forma;1434903117
Fossa séptica;1434904946
;1434905080
Fossa rudimentar;1434907880
Vala a céu aberto;1434908771
Fossa séptica;1434909409
Fossa séptica;1434909824
Direto para um rio, lago ou mar;1434910598
Vala a céu aberto;1434910911
Outra forma;1434911489
Vala a céu aberto;1437915086
Outra forma;1437915329
Outra forma;1437916058
Outra forma;1437916139
Vala a céu aberto;1437916309
Fossa séptica;1437916996
Vala a céu aberto;1437917291
Fossa séptica;1437917704
Outra forma;1437919235
Vala a céu aberto;1437920322
Fossa rudimentar;1437921132
Fossa rudimentar;1437921213
Fossa rudimentar;1437921302
Fossa rudimentar;1437921566
;1437921647
Vala a céu aberto;1437922538
Vala a céu aberto;1437923500
Fossa séptica;1437923771
Vala a céu aberto;1437924239
Fossa rudimentar;1437925715
Fossa séptica;1442646500
Fossa séptica;1442646845
Vala a céu aberto;1442647221
Outra forma;1442647302
Vala a céu aberto;1442647493
Fossa séptica;1442647906
Vala a céu aberto;1442648112
Vala a céu aberto;1442649194
Vala a céu aberto;1442649607
Vala a céu aberto;1442650362
Fossa rudimentar;1442651504
Vala a céu aberto;1442651920
Fossa rudimentar;1442653205
Vala a céu aberto;1442653620
Vala a céu aberto;1442654198
Vala a céu aberto;1448854920
Vala a céu aberto;1448855578
Vala a céu aberto;1448855900
;1448856469
Vala a céu aberto;1448857600
Vala a céu aberto;1448858321
Outra forma;1448858674
Vala a céu aberto;1448859646
Vala a céu aberto;1448860067
;1448861543
Outra forma;1448862787
Fossa séptica;1448863910
Vala a céu aberto;1448865298
Vala a céu aberto;1448865379
Outra forma;1448866693
Vala a céu aberto;1448866774
Outra forma;1448870020
Fossa séptica;1448870372
Vala a céu aberto;1448870968
Direto para um rio, lago ou mar;1448871425
Vala a céu aberto;1448872669
Vala a céu aberto;1448872740
Vala a céu aberto;1448873398
Outra forma;1448873550
Vala a céu aberto;1448875765
Direto para um rio, lago ou mar;1448876494
Vala a céu aberto;1448877385
Vala a céu aberto;1448878438
Vala a céu aberto;1448879671
Vala a céu aberto;1448879752
Outra forma;1448880092
Vala a céu aberto;1448880688
Direto para um rio, lago ou mar;1448881579
Vala a céu aberto;1448881900
Vala a céu aberto;1448882389
Direto para um rio, lago ou mar;1448883270
Outra forma;1461671558
Vala a céu aberto;1466696656
Vala a céu aberto;1466696737
Fossa séptica;1466698004
Outra forma;1466698438
Fossa rudimentar;1466698608
Vala a céu aberto;1448883784
Direto para um rio, lago ou mar;1455871931
Outra forma;1458842100
Vala a céu aberto;1458842959
Fossa séptica;1458843416
Vala a céu aberto;1458843688
Fossa rudimentar;1458844650
Fossa rudimentar;1458845389
Vala a céu aberto;1458845974
Direto para um rio, lago ou mar;1458846008
Fossa séptica;1458847160
Fossa séptica;1458848302
Vala a céu aberto;1458849880
Fossa séptica;1458851435
Fossa séptica;1458852679
Vala a céu aberto;1458853721
Vala a céu aberto;1458854612
Fossa séptica;1458855856
Vala a céu aberto;1458856585
Fossa séptica;1458856828
Vala a céu aberto;1458857395
Vala a céu aberto;1458858367
Outra forma;1458859096
Vala a céu aberto;1458859509
Outra forma;1458859681
Vala a céu aberto;1458859762
Outra forma;1458861155
Outra forma;1458862208
Direto para um rio, lago ou mar;1458862984
Vala a céu aberto;1458864090
;1458865061
Fossa rudimentar;1458866890
Vala a céu aberto;1458867005
Vala a céu aberto;1458867609
Vala a céu aberto;1461667100
Fossa séptica;1461668093
Outra forma;1461668417
Fossa séptica;1461668689
Outra forma;1461668840
Direto para um rio, lago ou mar;1461669146
Vala a céu aberto;1461669731
Outra forma;1461669812
Outra forma;1461670152
Fossa séptica;1461670233
;1461670586
Outra forma;1473371279
Vala a céu aberto;1473371783
Fossa séptica;1473372674
Vala a céu aberto;1530210046
Fossa séptica;1530210470
Vala a céu aberto;1530211018
Vala a céu aberto;1530212251
Vala a céu aberto;1530212332
Outra forma;1530212502
Vala a céu aberto;1530212766
Fossa rudimentar;1530213304
Vala a céu aberto;1530213495
Vala a céu aberto;1530214203
Fossa rudimentar;1473372917
;1473374022
Fossa rudimentar;1473374375
Vala a céu aberto;1473374618
Vala a céu aberto;1473374880
Vala a céu aberto;1473375185
Direto para um rio, lago ou mar;1473375266
Vala a céu aberto;1473375851
Fossa séptica;1473375932
Vala a céu aberto;1473376319
Fossa séptica;1473376823
Vala a céu aberto;1473376904
Outra forma;1473377048
Fossa séptica;1473377390
Vala a céu aberto;1473377714
Vala a céu aberto;1473378877
Fossa séptica;1473379091
Fossa séptica;1473379172
Vala a céu aberto;1473379415
Vala a céu aberto;1473379687
Fossa séptica;1473379920
Outra forma;1473581672
Fossa rudimentar;1473581753
Vala a céu aberto;1473581834
Fossa rudimentar;1477074120
Vala a céu aberto;1477075100
Fossa rudimentar;1477075364
Direto para um rio, lago ou mar;1479387401
Vala a céu aberto;1498793770
Direto para um rio, lago ou mar;1500191221
;1506321186
Outra forma;1506433146
Vala a céu aberto;1506916708
Outra forma;1512060747
Fossa séptica;1520074077
Vala a céu aberto;1523371994
Fossa séptica;1530195225
Fossa rudimentar;1530195730
Fossa rudimentar;1530196388
Fossa rudimentar;1530197198
;1530198402
Fossa rudimentar;1530199131
Outra forma;1530199565
Vala a céu aberto;1530201055
Outra forma;1530201136
Vala a céu aberto;1530202370
Vala a céu aberto;1530203503
Fossa séptica;1530204402
Vala a céu aberto;1530205042
Outra forma;1530205204
Vala a céu aberto;1530205808
Outra forma;1530206103
Vala a céu aberto;1530208815
Fossa séptica;1530209110
Vala a céu aberto;1530215439
Vala a céu aberto;1530215943
Vala a céu aberto;1530217300
Vala a céu aberto;1530217725
Fossa rudimentar;1530217997
Vala a céu aberto;1530218292
Direto para um rio, lago ou mar;1530218373
Outra forma;1530218888
Outra forma;1530219426
Vala a céu aberto;1530220270
Vala a céu aberto;1530220351
Fossa séptica;1530220947
Fossa rudimentar;1530221080
Vala a céu aberto;1530222133
Vala a céu aberto;1530224187
Vala a céu aberto;1530224691
Vala a céu aberto;1530224853
Vala a céu aberto;1530225159
;1530225230
Vala a céu aberto;1530226473
Vala a céu aberto;1530226554
Vala a céu aberto;1530227011
Vala a céu aberto;1530227798
Vala a céu aberto;1530228093
Vala a céu aberto;1530228336
Vala a céu aberto;1530229570
Fossa rudimentar;1530229901
;1530230314
Vala a céu aberto;1530231043
Fossa séptica;1530232600
Fossa rudimentar;1530232872
Fossa rudimentar;1530233259
Vala a céu aberto;1530233844
Vala a céu aberto;1530235030
Vala a céu aberto;1530235111
Fossa séptica;1530269520
Vala a céu aberto;1530270022
Vala a céu aberto;1530270707
Vala a céu aberto;1530273390
Direto para um rio, lago ou mar;1530273714
Fossa rudimentar;1530274010
Vala a céu aberto;1530274443
Vala a céu aberto;1530274877
Vala a céu aberto;1530235626
Vala a céu aberto;1530235707
Vala a céu aberto;1530236355
Vala a céu aberto;1530236517
Vala a céu aberto;1530236789
Vala a céu aberto;1530237599
Vala a céu aberto;1530237831
Fossa rudimentar;1530237912
;1530238056
Vala a céu aberto;1530238722
;1530238994
Vala a céu aberto;1530239109
Vala a céu aberto;1530239885
Vala a céu aberto;1530240204
Fossa séptica;1530240468
Fossa séptica;1530240620
Fossa séptica;1530240972
Vala a céu aberto;1530241197
Fossa séptica;1530241510
Fossa séptica;1530242169
Fossa séptica;1530242592
Fossa rudimentar;1530242916
Fossa séptica;1530243130
Vala a céu aberto;1530243211
Vala a céu aberto;1530244021
Vala a céu aberto;1530244102
Outra forma;1530244960
Vala a céu aberto;1530245265
Fossa rudimentar;1530245346
Fossa rudimentar;1530245850
Fossa rudimentar;1530247390
Vala a céu aberto;1530247985
Vala a céu aberto;1530248108
Vala a céu aberto;1530248361
Outra forma;1530248442
Vala a céu aberto;1530248604
Vala a céu aberto;1530248795
Vala a céu aberto;1530248957
Vala a céu aberto;1530249252
Vala a céu aberto;1530250420
Fossa séptica;1530250773
Vala a céu aberto;1530252555
Vala a céu aberto;1530254175
Vala a céu aberto;1530254418
Vala a céu aberto;1530254507
Fossa rudimentar;1530256380
Vala a céu aberto;1530256461
Vala a céu aberto;1530256976
Vala a céu aberto;1530257514
Fossa séptica;1530258324
Fossa séptica;1530258758
Fossa rudimentar;1530259649
Direto para um rio, lago ou mar;1530260060
Outra forma;1530260493
Vala a céu aberto;1530262003
Fossa rudimentar;1530262518
Vala a céu aberto;1530263832
Vala a céu aberto;1530264138
Vala a céu aberto;1530264219
Direto para um rio, lago ou mar;1530264480
;1530264995
Vala a céu aberto;1530265452
Fossa rudimentar;1530266009
Outra forma;1530266424
Vala a céu aberto;1530268125
Vala a céu aberto;1530268397
Fossa rudimentar;1530276063
Vala a céu aberto;1530276497
Vala a céu aberto;1530276900
Fossa rudimentar;1530277469
Vala a céu aberto;1530277701
Vala a céu aberto;1530277973
Fossa rudimentar;1530278279
Vala a céu aberto;1530278600
Fossa rudimentar;1530278783
Vala a céu aberto;1530278864
Fossa rudimentar;1530279402
Fossa rudimentar;1530279917
Vala a céu aberto;1530281814
Vala a céu aberto;1530282624
Vala a céu aberto;1530283353
Vala a céu aberto;1530283949
Vala a céu aberto;1530284597
Vala a céu aberto;1530285488
Vala a céu aberto;1530285640
Vala a céu aberto;1530286107
Outra forma;1530286611
Fossa séptica;1530286700
Vala a céu aberto;1530287006
Vala a céu aberto;1530287340
Vala a céu aberto;1530287936
Vala a céu aberto;1530320577
Vala a céu aberto;1530320739
Fossa séptica;1530321115
Vala a céu aberto;1530321387
Outra forma;1530321700
Fossa rudimentar;1530322197
Outra forma;1530323916
Fossa rudimentar;1530289807
Fossa rudimentar;1530290210
Fossa rudimentar;1530290562
Fossa rudimentar;1530290724
Fossa séptica;1530291291
Vala a céu aberto;1530291534
Vala a céu aberto;1530293235
Vala a céu aberto;1530293316
Fossa séptica;1530294398
Direto para um rio, lago ou mar;1530294630
;1530296846
Vala a céu aberto;1530296927
Vala a céu aberto;1530297907
Fossa rudimentar;1530299438
Vala a céu aberto;1530299519
Vala a céu aberto;1530299861
Fossa séptica;1530299942
Vala a céu aberto;1530300380
Vala a céu aberto;1530301270
Vala a céu aberto;1530301602
Vala a céu aberto;1530301866
;1530302676
Vala a céu aberto;1530305187
Fossa rudimentar;1530305268
Fossa séptica;1530306230
Vala a céu aberto;1530306400
Vala a céu aberto;1530308283
Vala a céu aberto;1530308526
Direto para um rio, lago ou mar;1530308607
Fossa séptica;1530309093
Vala a céu aberto;1530309174
Vala a céu aberto;1530309840
;1530310008
Vala a céu aberto;1530310261
Fossa rudimentar;1530310423
Vala a céu aberto;1530311233
;1530311314
Vala a céu aberto;1530315735
Direto para um rio, lago ou mar;1530315905
Vala a céu aberto;1530318327
Vala a céu aberto;1530318408
Direto para um rio, lago ou mar;1530318831
Vala a céu aberto;1530319056
Fossa séptica;1530319218
Vala a céu aberto;1530319641
Fossa rudimentar;1530319722
Vala a céu aberto;1530319994
Fossa séptica;1530324807
Vala a céu aberto;1530325102
;1530325293
Fossa séptica;1530326427
;1530328390
Vala a céu aberto;1530328551
Fossa rudimentar;1530330530
Vala a céu aberto;1530331188
Fossa séptica;1530331501
Fossa rudimentar;1530331854
Vala a céu aberto;1530332079
;1530332826
Vala a céu aberto;1530332907
Outra forma;1530333040
Vala a céu aberto;1530333393
Vala a céu aberto;1530334101
Vala a céu aberto;1530334284
Vala a céu aberto;1530334365
Outra forma;1530334870
Vala a céu aberto;1530335256
Fossa séptica;1530335922
Fossa rudimentar;1530336147
Fossa rudimentar;1530336228
Vala a céu aberto;1530336309
Fossa rudimentar;1530336651
Vala a céu aberto;1530337208
Fossa séptica;1530337704
Direto para um rio, lago ou mar;1530337895
Direto para um rio, lago ou mar;1530338271
Vala a céu aberto;1530338433
Fossa rudimentar;1530338603
Fossa séptica;1530338867
Vala a céu aberto;1530339758
Vala a céu aberto;1530340500
Vala a céu aberto;1530340845
Vala a céu aberto;1530340926
Vala a céu aberto;1530341060
Vala a céu aberto;1530341221
Vala a céu aberto;1530341736
Outra forma;1530341906
Vala a céu aberto;1530342384
;1530342546
Vala a céu aberto;1530342708
Fossa séptica;1530343518
Vala a céu aberto;1530344328
Direto para um rio, lago ou mar;1530344590
Vala a céu aberto;1530345723
Vala a céu aberto;1530346614
Vala a céu aberto;1530346703
Fossa rudimentar;1530347009
Fossa rudimentar;1530348404
Fossa rudimentar;1530348587
Fossa rudimentar;1530349710
Vala a céu aberto;1530349800
Vala a céu aberto;1530350050
Fossa séptica;1530350727
Vala a céu aberto;1530350999
Fossa séptica;1530351618
Fossa séptica;1530352185
Vala a céu aberto;1530352347
Outra forma;1530353742
Vala a céu aberto;1530354633
Vala a céu aberto;1530354986
Vala a céu aberto;1530355281
Vala a céu aberto;1530355877
Vala a céu aberto;1530355958
Vala a céu aberto;1530356091
Vala a céu aberto;1530356253
Vala a céu aberto;1530356334
Vala a céu aberto;1530356504
Vala a céu aberto;1530356849
Vala a céu aberto;1530357659
Vala a céu aberto;1530357900
Fossa séptica;1530359511
Vala a céu aberto;1530361761
Fossa séptica;1530362067
Vala a céu aberto;1530362814
Vala a céu aberto;1530398177
Vala a céu aberto;1530398258
Vala a céu aberto;1530399572
Vala a céu aberto;1530400414
Fossa séptica;1530400503
Vala a céu aberto;1530364353
Vala a céu aberto;1530364604
Vala a céu aberto;1530364787
Outra forma;1530365244
Fossa rudimentar;1530365759
Fossa séptica;1530365830
Vala a céu aberto;1530366488
Vala a céu aberto;1530368340
Outra forma;1530368421
Vala a céu aberto;1530369908
Vala a céu aberto;1530370248
Vala a céu aberto;1530370400
Vala a céu aberto;1530370671
Fossa séptica;1530371058
Vala a céu aberto;1530371139
Fossa séptica;1530371643
Vala a céu aberto;1530372020
Fossa rudimentar;1530373697
Vala a céu aberto;1530374235
Fossa séptica;1530374740
Fossa séptica;1530374901
Vala a céu aberto;1530375207
Vala a céu aberto;1530375550
Vala a céu aberto;1530375711
Vala a céu aberto;1530375983
;1530376360
Vala a céu aberto;1530376440
Vala a céu aberto;1530376521
Vala a céu aberto;1530376874
Vala a céu aberto;1530377846
Vala a céu aberto;1530379385
Vala a céu aberto;1530379466
Fossa rudimentar;1530380553
Fossa rudimentar;1530382254
Vala a céu aberto;1530382416
Vala a céu aberto;1530382920
Vala a céu aberto;1530383145
Vala a céu aberto;1530383650
Fossa séptica;1530383900
Vala a céu aberto;1530384036
Outra forma;1530384206
Direto para um rio, lago ou mar;1530384893
Vala a céu aberto;1530385270
Vala a céu aberto;1530385431
Vala a céu aberto;1530386322
Fossa rudimentar;1530386594
Vala a céu aberto;1530387132
Outra forma;1530387213
Vala a céu aberto;1530387647
Vala a céu aberto;1530390001
Fossa séptica;1530390605
Fossa rudimentar;1530391164
Outra forma;1530391407
Vala a céu aberto;1530391911
Vala a céu aberto;1530392306
Vala a céu aberto;1530393370
Vala a céu aberto;1530393531
Vala a céu aberto;1530393701
Vala a céu aberto;1530394007
Fossa rudimentar;1530394180
Fossa séptica;1530394260
Vala a céu aberto;1530394937
Fossa rudimentar;1530395313
