desc_cod_escoa_sanitario_domic_fam;cod_familiar_fam
Direto para um rio, lago ou mar;585232601
Fossa séptica;585233080
Vala a céu aberto;585233160
Fossa rudimentar;585233241
Vala a céu aberto;585233322
Fossa rudimentar;585233675
Fossa séptica;585233756
Vala a céu aberto;585233918
Vala a céu aberto;585234051
Vala a céu aberto;585234302
Fossa rudimentar;585234485
Fossa rudimentar;585234566
Fossa rudimentar;585234647
Vala a céu aberto;585234809
Vala a céu aberto;585234990
Fossa rudimentar;585235104
Fossa séptica;585235538
Vala a céu aberto;585236267
Vala a céu aberto;585236429
Vala a céu aberto;585236500
Outra forma;585236690
Fossa rudimentar;585237310
Outra forma;585237743
Outra forma;585237824
Vala a céu aberto;585237905
Fossa rudimentar;585238049
Fossa séptica;585238120
Vala a céu aberto;585238553
Vala a céu aberto;585238987
Outra forma;585239010
Fossa séptica;585239100
Fossa rudimentar;585239797
Outra forma;585239959
Vala a céu aberto;585240450
Fossa séptica;585240531
Vala a céu aberto;585240612
Fossa séptica;585240884
Vala a céu aberto;585241007
Fossa rudimentar;585241341
Vala a céu aberto;585241775
Fossa séptica;585241937
Fossa séptica;585242070
Vala a céu aberto;585242151
Outra forma;585242585
Vala a céu aberto;585242747
Vala a céu aberto;585242909
Vala a céu aberto;585243557
Vala a céu aberto;585243638
Vala a céu aberto;585243719
Vala a céu aberto;585243808
Vala a céu aberto;585244103
Vala a céu aberto;585245177
Vala a céu aberto;585245843
Vala a céu aberto;585246149
Vala a céu aberto;585246572
Vala a céu aberto;585246904
Vala a céu aberto;585247030
Vala a céu aberto;585247463
Vala a céu aberto;585247625
Vala a céu aberto;585247978
Vala a céu aberto;585248001
Vala a céu aberto;585248435
Vala a céu aberto;585248940
Vala a céu aberto;585249164
Vala a céu aberto;585249407
Fossa séptica;585249598
Vala a céu aberto;585249911
Outra forma;585225907
Vala a céu aberto;585226032
Vala a céu aberto;585226466
Fossa rudimentar;585226547
Outra forma;585226628
Vala a céu aberto;585226709
Outra forma;585226890
Fossa séptica;585226970
Outra forma;585227004
Vala a céu aberto;585250413
Fossa rudimentar;585250685
Vala a céu aberto;585250928
Outra forma;585251142
Fossa séptica;585251223
Vala a céu aberto;585251657
Outra forma;585252467
Vala a céu aberto;585252548
Vala a céu aberto;585252700
Fossa séptica;585252890
Vala a céu aberto;585252971
Vala a céu aberto;585253196
Vala a céu aberto;585253277
Vala a céu aberto;585254249
