desc_cod_agua_canalizada_fam;cod_familiar_fam
Não;1584297611
Não;1584300850
Não;1584301660
Não;1590860780
Não;1590861833
Não;1590862481
Não;1590863291
Não;1590864930
Não;1590882164
Não;1590896467
Não;1596407417
Não;1596411015
Não;1596411953
Não;1599525658
Não;1599530147
Não;1623562694
Não;1654789186
Não;1654796808
Não;1672942373
Não;1700962035
Não;1704691826
Não;1717430759
Não;1733691979
Não;1733698558
Não;1733701877
Não;1733704973
Não;1733707050
Não;1733755454
Não;1733756183
Não;1736945947
Não;1736953702
Não;1736963090
Não;1736974882
Não;1736978950
Não;1736983105
Não;1736993089
Não;1737002507
Não;1737009005
Não;1737020238
Não;1737022443
Não;1739537270
Não;1739540816
Não;1739541383
Não;1739543670
Não;1739552580
Não;1739558430
Não;1739575954
Não;1741305896
Não;1741306353
Não;1741312167
Não;1741314534
Não;1749142376
Não;1749145987
Não;1749146525
Não;1749151600
Não;1749174146
Não;1749184451
Não;1749186071
Não;1749193876
Não;1750975424
Não;1750982390
Não;1750983109
Não;1750992787
Não;1751004384
Não;1751006913
Não;1751017362
Não;1764881621
Não;1764903536
Não;1784899135
Não;1784903345
Não;1784903426
Não;1779103565
Não;1779114508
Não;1779114923
Não;1779118597
Não;1797140744
Não;1797143506
Não;1797144308
Não;1797144812
Não;1797145118
Não;1797146190
Não;1809552419
Não;1809556082
Não;1809558883
Não;1809564859
Não;1809570581
Não;1828778095
Não;1828782793
Não;1828786608
Não;1848299419
Não;1856961710
Não;1856963411
Não;1856965112
Não;1856965708
Não;1856966941
Não;1873660049
Não;1873666403
Não;1873673884
Não;1873683928
Não;1873684061
Não;1873689705
Não;1881620972
Não;1881622088
Não;1881637271
Não;1881641112
Não;1881644804
Não;1881647900
Não;1896570062
Não;1896578470
Não;1896587895
Não;1896590500
Não;1896600905
Não;1896601987
Não;1896602959
Não;1896607918
Não;1896610897
Não;1896619681
Não;1896621236
Não;1896661530
Não;1896664040
Não;1896682618
Não;1896689116
Não;1896696678
Não;1896707971
Não;1896716105
Não;1896719201
Não;1896723586
Não;1904372864
Não;1911172425
Não;1911176250
Não;1911178547
Não;1920213112
Não;1920214003
Não;1920216561
Não;1925716724
Não;1933373989
Não;1944003959
Não;1935368893
Não;1935373897
Não;1940723205
Não;1940726301
Não;1940726654
Não;1940727979
Não;1940731496
Não;1940733197
Não;1959815296
Não;1949888134
Não;1949894452
Não;1955723001
Não;1956853189
Não;1958781240
Não;1958781592
Não;1959812785
Não;1961128691
Não;1961928620
Não;1963857682
Não;1972033611
Não;1973076128
Não;1975633415
Não;1990405916
Não;1981980946
Não;1984632515
Não;1990408508
Não;1996569830
Não;2011802946
Não;2002855994
Não;2006915894
Não;2013482094
Não;2014315051
Não;2016398159
Não;2016677708
Não;2020853680
Não;2020857405
Não;2023766990
Não;2024809766
Não;2029294187
Não;2029297607
Não;2030676063
Não;2030678007
Não;2032095327
Não;2034216717
Não;2036533868
Não;2038245398
Não;2046264045
Não;2046985966
Não;2052760326
Não;2056856093
Não;2062159838
Não;2062164246
Não;2068070820
Não;2068071126
Não;2073602860
Não;2073604056
Não;2068075466
Não;2068086824
Não;2068088100
Não;2068088525
Não;2068696142
Não;2071177800
Não;2071178530
Não;2075324190
Não;2075324514
Não;2079326546
Não;2079327275
Não;2079328670
Não;2088211128
Não;2088212957
Não;2079329561
Não;2079334050
Não;2083143779
Não;2093022087
Não;2094045404
Não;2096415845
Não;2099283958
Não;2101209594
Não;2103050614
Não;2105922570
Não;2105922813
Não;2124102109
Não;2107388989
Não;2110347970
Não;2116146887
Não;2116147000
Não;2124102532
Não;2131900368
Não;2131901682
Não;2139405587
Não;2143063210
Não;2156021295
Não;2161734776
Não;2172213861
Não;2172216534
Não;2172770710
Não;2193498865
Não;2193500436
Não;2193505314
Não;2200592760
Não;2201186049
Não;2201803005
Não;2202341838
Não;2219412156
Não;2219417549
Não;2219434800
Não;2223878580
Não;2223888038
Não;2223890288
Não;2228910503
Não;2231156814
Não;2235038190
Não;2238731369
Não;2242413112
Não;2247840485
Não;2258380367
Não;2265975125
Não;2265976369
Não;2275103643
Não;2285575505
Não;2313361012
Não;2301154890
Não;2306195412
Não;2308139501
Não;2317234317
Não;2321298782
Não;2341800726
Não;2344477705
Não;2347202987
Não;2349654958
Não;2352420393
Não;2355824258
Não;2357749440
Não;2373527456
Não;2378457766
Não;2378460635
Não;2378465190
Não;2380031673
Não;2385623870
Não;2392312958
Não;2392313687
Não;2396484206
Não;2397123401
Não;2406576400
Não;2406579930
Não;2410140939
Não;2410142478
Não;2411154186
Não;2412609225
Não;2435428871
Não;2435429339
Não;2442246414
Não;2453866028
Não;2471495788
Não;2472122969
Não;2484978120
Não;2485331774
Não;2488249700
Não;2502726522
Não;2508750204
Não;2510280899
Não;2511121280
Não;2518394273
Não;2521434850
Não;2521435406
Não;2537862821
Não;2538956005
Não;2528108729
Não;2535678233
Não;2539707092
Não;2539707840
Não;2540805965
Não;2540808638
Não;2540810020
Não;2541516207
Não;2541517955
Não;2542845409
Não;2544745606
Não;2544747056
Não;2544747722
Não;2546248804
Não;2546249100
Não;2546250027
Não;2547030624
Não;2551780934
Não;2551928273
Não;2551929679
Não;2553181973
Não;2553185880
Não;2557034142
Não;2557035548
Não;2557036196
Não;2559001632
Não;2560163136
Não;2560168790
Não;2560171317
Não;2560186691
Não;2560194287
Não;2561164152
Não;2561171523
Não;2562215966
Não;2566645957
Não;2567881700
Não;2569316075
Não;2569316580
Não;2569316741
Não;2571687964
Não;2572341794
Não;2575659817
Não;2575659906
Não;2575660742
Não;2576326200
Não;2578610177
Não;2579289607
Não;2580748849
Não;2582597791
Não;2584163519
Não;2584163780
Não;2593421657
Não;2593422114
Não;2596741253
Não;2596741687
Não;2598389425
Não;2609180322
Não;2599643953
Não;2605401456
Não;2606190602
Não;2627880551
Não;2627883739
Não;2627899147
Não;2627910213
Não;2627920286
Não;2627920600
Não;2649639709
Não;2651142689
Não;2657441130
Não;2660868450
Não;2660868883
Não;2663965006
Não;2666376397
Não;2669431011
Não;2676326309
Não;2687784850
Não;2689615304
Não;2698447834
Não;2695142102
Não;2697028226
Não;2699571113
Não;2710311666
Não;2718216476
Não;2721235443
Não;2730823026
Não;2733739514
Não;2733945254
Não;2734161974
Não;2736029429
Não;2737963133
Não;2739561326
Não;2740748264
Não;2742282700
Não;2742415106
Não;2743466723
Não;3030872777
Não;3117394230
Não;3102392300
Não;3109234505
Não;3113375380
Não;3118812389
Não;3123030334
Não;3124515633
Não;3126167918
Não;3126734855
Não;3128153795
Não;3129674209
Não;3131679158
Não;3154814396
Não;3154831487
Não;3141462100
Não;3144195359
Não;3144528854
Não;3151056903
Não;3158265680
Não;3171850397
Não;3176417004
Não;3179132124
Não;3189601330
Não;3190208948
Não;3195553996
Não;3196434508
Não;3197153103
Não;3225951773
Não;3231190266
Não;3232622364
Não;3242584376
Não;3242585852
Não;3243148928
Não;3243167710
Não;3243474566
Não;3243658454
Não;3243658616
Não;3243755140
Não;3247747028
Não;3247813187
Não;3249679348
Não;3250421952
Não;3250620483
Não;3255384095
Não;3282520506
Não;3284731466
Não;3284856757
Não;3285067020
Não;3288039443
Não;3288199645
Não;3288247399
Não;3299414615
Não;3300822726
Não;3306196673
Não;3307745301
Não;3312999847
Não;3323477375
Não;3351069359
Não;3358701808
Não;3360127641
Não;3362961347
Não;3362248934
Não;3363377363
Não;3386744974
Não;3397145066
Não;3373955009
Não;3379153850
Não;3387205295
Não;3388707413
Não;3389529772
Não;3393270818
Não;3394410206
Não;3396083156
Não;3399863101
Não;3413790340
Não;3416612795
Não;3416961021
Não;3420702159
Não;3449601296
Não;3451853310
Não;3486774484
Não;3495637486
Não;3513408315
Não;3498050915
Não;3507306107
Não;3517582166
Não;3519328011
Não;3519673703
Não;3529615463
Não;3533914925
Não;3534451180
Não;3540112430
Não;3541541091
Não;3550485239
Não;3555494252
Não;3561276725
Não;3565192283
Não;3566765600
Não;3573146546
Não;3580667432
Não;3595696336
Não;3601470209
Não;3605843492
Não;3615553934
Não;3615939026
Não;3617619371
Não;3636932039
Não;3621639799
Não;3623579009
Não;3625755840
Não;3626749738
Não;3627758501
Não;3645181032
Não;3653772362
Não;3659115266
Não;3666786987
Não;3668811164
Não;3671114894
Não;3671517905
Não;3672240036
Não;3672619523
Não;3687064603
Não;3702066306
Não;3722874769
Não;3727163690
Não;3728373877
Não;3734499682
Não;3735031307
Não;3737179620
Não;3737451257
Não;3744586006
Não;3787783407
Não;3794820290
Não;3795473330
Não;3805061064
Não;3822982920
Não;3832544267
Não;3837844170
Não;3863762126
Não;3847754548
Não;3881120939
Não;3883390399
Não;3905216396
Não;3909289509
Não;3913406549
Não;3950731113
Não;3943323501
Não;3962108483
Não;3968446933
Não;3972760795
Não;3991622165
