desc_cod_parentesco_rf_pessoa;count
Sogro(a);486
Genro ou nora;669
Não parente;758
Enteado(a);1159
Outro parente;5262
Irmão ou irmã;6973
Neto(a) ou bisneto(a);8840
Pai ou mãe;10984
Cônjuge ou companheiro(a);61623
Pessoa responsável pela Unidade Familiar - RF;189623
Filho(a);229440
