nivel_territorial_codigo;nivel_territorial;unidade_de_medida_codigo;unidade_de_medida;valor;municipio_codigo;municipio;ano_codigo;ano;variavel_codigo;variavel
6;Município;45;Pessoas;731852;3548708;São Bernardo do Campo (SP);2002;2002;9324;População residente estimada
6;Município;45;Pessoas;745161;3548708;São Bernardo do Campo (SP);2003;2003;9324;População residente estimada
6;Município;45;Pessoas;773099;3548708;São Bernardo do Campo (SP);2004;2004;9324;População residente estimada
6;Município;45;Pessoas;788560;3548708;São Bernardo do Campo (SP);2005;2005;9324;População residente estimada
6;Município;45;Pessoas;803906;3548708;São Bernardo do Campo (SP);2006;2006;9324;População residente estimada
6;Município;45;Pessoas;801580;3548708;São Bernardo do Campo (SP);2008;2008;9324;População residente estimada
6;Município;45;Pessoas;810979;3548708;São Bernardo do Campo (SP);2009;2009;9324;População residente estimada
6;Município;45;Pessoas;770253;3548708;São Bernardo do Campo (SP);2011;2011;9324;População residente estimada
6;Município;45;Pessoas;774886;3548708;São Bernardo do Campo (SP);2012;2012;9324;População residente estimada
6;Município;45;Pessoas;805895;3548708;São Bernardo do Campo (SP);2013;2013;9324;População residente estimada
6;Município;45;Pessoas;811489;3548708;São Bernardo do Campo (SP);2014;2014;9324;População residente estimada
6;Município;45;Pessoas;816925;3548708;São Bernardo do Campo (SP);2015;2015;9324;População residente estimada
6;Município;45;Pessoas;822242;3548708;São Bernardo do Campo (SP);2016;2016;9324;População residente estimada
6;Município;45;Pessoas;827437;3548708;São Bernardo do Campo (SP);2017;2017;9324;População residente estimada
6;Município;45;Pessoas;833240;3548708;São Bernardo do Campo (SP);2018;2018;9324;População residente estimada
6;Município;45;Pessoas;838936;3548708;São Bernardo do Campo (SP);2019;2019;9324;População residente estimada
6;Município;45;Pessoas;844483;3548708;São Bernardo do Campo (SP);2020;2020;9324;População residente estimada
6;Município;45;Pessoas;849874;3548708;São Bernardo do Campo (SP);2021;2021;9324;População residente estimada
6;Município;45;Pessoas;840499;3548708;São Bernardo do Campo (SP);2024;2024;9324;População residente estimada
6;Município;45;Pessoas;781390;3548708;São Bernardo do Campo (SP);2007;2007;93;População residente
6;Município;45;Pessoas;765463;3548708;São Bernardo do Campo (SP);2010;2010;93;População residente
