ano;cnae_2_descricao_secao;variable;media_idade
2009;Atividades Administrativas E Serviços Complementares;Admissões;29.617926284437825
2009;Atividades Administrativas E Serviços Complementares;Demissões;30.83517921868707
2009;Atividades Financeiras, De Seguros E Serviços Relacionados;Admissões;25.42128027681661
2009;Atividades Financeiras, De Seguros E Serviços Relacionados;Demissões;32.51783893985729
2009;Atividades Imobiliárias;Admissões;29.474137931034484
2009;Atividades Imobiliárias;Demissões;32.84313725490196
2009;Atividades Profissionais, Científicas E Técnicas;Admissões;29.459783913565428
2009;Atividades Profissionais, Científicas E Técnicas;Demissões;30.6047197640118
2009;"Comércio; Reparação De Veículos Automotores E Motocicletas";Admissões;27.38656657835345
2009;"Comércio; Reparação De Veículos Automotores E Motocicletas";Demissões;28.558902983321587
2009;Construção;Admissões;34.077028081123245
2009;Construção;Demissões;34.3042189281642
2009;Educação;Admissões;32.317767653758544
2009;Educação;Demissões;34.700066357000665
2009;Eletricidade E Gás;Demissões;43.0
2009;Indústrias De Transformação;Admissões;29.356280940594058
2009;Indústrias De Transformação;Demissões;33.01085375405617
2009;Informação E Comunicação;Admissões;29.246714709622722
2009;Informação E Comunicação;Demissões;31.018587360594797
2009;Organismos Internacionais E Outras Instituições Extraterritoriais;Admissões;23.6875
2009;Organismos Internacionais E Outras Instituições Extraterritoriais;Demissões;25.285714285714285
2009;Outras Atividades De Serviços;Admissões;29.995107632093934
2009;Outras Atividades De Serviços;Demissões;31.664759725400458
2009;Saúde Humana E Serviços Sociais;Admissões;29.726981585268213
2009;Saúde Humana E Serviços Sociais;Demissões;31.74376199616123
2009;Serviços Domésticos;Admissões;33.0
2009;Serviços Domésticos;Demissões;42.0
2009;Transporte, Armazenagem E Correio;Admissões;31.660575427682737
2009;Transporte, Armazenagem E Correio;Demissões;32.2320710810239
2009;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;Admissões;32.568627450980394
2009;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;Demissões;35.9
2010;Administração Pública, Defesa E Seguridade Social;Admissões;41.10142369690552
2010;Administração Pública, Defesa E Seguridade Social;Demissões;42.60917600122756
2010;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;Admissões;27.517241379310345
2010;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;Demissões;23.5
2010;Alojamento E Alimentação;Admissões;29.62864077669903
2010;Alojamento E Alimentação;Demissões;29.853501318488135
2010;Artes, Cultura, Esporte E Recreação;Admissões;28.217532467532468
2010;Artes, Cultura, Esporte E Recreação;Demissões;29.121951219512194
2010;Atividades Administrativas E Serviços Complementares;Admissões;29.082416238689166
2010;Atividades Administrativas E Serviços Complementares;Demissões;29.326685934489404
2010;Atividades Financeiras, De Seguros E Serviços Relacionados;Admissões;24.123865456486918
2010;Atividades Financeiras, De Seguros E Serviços Relacionados;Demissões;29.035424354243542
2010;Atividades Imobiliárias;Admissões;28.149484536082475
2010;Atividades Imobiliárias;Demissões;32.15432098765432
2010;Atividades Profissionais, Científicas E Técnicas;Admissões;30.5466816647919
2010;Atividades Profissionais, Científicas E Técnicas;Demissões;30.848337388483372
2010;"Comércio; Reparação De Veículos Automotores E Motocicletas";Admissões;27.48987479367124
2010;"Comércio; Reparação De Veículos Automotores E Motocicletas";Demissões;28.230409812128883
2010;Construção;Admissões;33.312154696132595
2010;Construção;Demissões;33.66791930379747
2010;Educação;Admissões;31.840225563909776
2010;Educação;Demissões;34.742712294043095
2010;Eletricidade E Gás;Admissões;23.0
2010;Eletricidade E Gás;Demissões;27.0
2010;Indústrias De Transformação;Admissões;29.721869470177996
2010;Indústrias De Transformação;Demissões;31.77378954163977
2010;Informação E Comunicação;Admissões;28.17398202009519
2010;Informação E Comunicação;Demissões;29.591879593979698
2010;Organismos Internacionais E Outras Instituições Extraterritoriais;Admissões;25.206642066420663
2010;Organismos Internacionais E Outras Instituições Extraterritoriais;Demissões;25.275
2010;Outras Atividades De Serviços;Admissões;31.270676691729324
2010;Outras Atividades De Serviços;Demissões;32.05614714424008
2010;Saúde Humana E Serviços Sociais;Admissões;29.512682551883167
2010;Saúde Humana E Serviços Sociais;Demissões;34.00327868852459
2010;Serviços Domésticos;Admissões;40.75
