cod_familiar_fam;vlr_renda_per_capita_fam
50347101;17766.666666666668
53682785;4880.0
53685709;7166.666666666667
56554800;2000.0
56557906;33600.0
56691890;17775.0
57625379;6557.142857142857
387258;0.0
9113134;1475.0
11505451;5083.333333333333
17986427;320.0
20583591;8280.0
23736372;2050.0
24902500;0.0
27104206;46500.0
27372642;2500.0
28964438;6857.142857142857
29665302;11250.0
29681936;28175.0
31107532;11680.0
31139302;1833.3333333333333
32078544;0.0
33577404;4600.0
37884239;3500.0
39375005;3185.714285714286
39384098;2333.333333333333
39384330;0.0
41272935;2075.0
41275608;160.0
41288939;833.3333333333334
43282130;19900.0
48196592;28350.0
49532588;45000.0
50268490;0.0
58119884;1550.0
61500631;5100.0
61502251;41950.0
62264265;0.0
63883961;18675.0
64089070;18733.33333333333
64172210;11200.0
66173876;70600.0
66180147;8316.666666666666
66212014;4714.285714285715
66218136;0.0
66384141;7466.666666666667
68509871;2500.0
71893202;10750.0
72185244;2920.0
74188925;28966.666666666668
74197916;3600.0
78193907;14350.0
89545265;0.0
94234787;15700.0
585182582;1833.2
585182663;0.0
585182744;3437.5
585182825;109.375
585182906;3020.0
585183040;2720.0
585183120;408.1428571428572
585183201;1142.857142857143
585183392;16800.0
585183473;1250.0
585183554;22500.0
97393002;24625.0
103530541;11666.666666666666
106035223;3557.1428571428573
106336428;2200.0
108799948;5616.666666666667
110163532;4400.0
120028875;0.0
126843333;5925.0
128798866;375.0
128876336;2500.0
139716890;2285.714285714286
139806709;16550.0
145922154;0.0
151549044;9600.0
151551880;1200.0
153373245;23533.33333333333
156645700;2455.555555555556
160867835;7900.0
161152520;24700.0
161187153;6625.0
161724507;6428.571428571428
167870726;183.3333333333333
169294978;3542.8571428571427
176232516;8500.0
180987038;3220.0
183738101;6025.0
184824656;20716.666666666668
192478265;54950.0
193257386;108000.0
198680902;14866.666666666666
205530052;10225.0
206603240;5200.0
208983554;16000.0
210565799;141200.0
211109215;0.0
214015866;2342.8571428571427
216527830;2766.6666666666665
216606543;70500.0
216635560;0.0
229683347;91000.0
229700101;12225.0
239400690;3250.0
251477657;4375.0
252463641;0.0
254022502;4900.0
254899684;93000.0
258074639;4300.0
262029138;5000.0
268920907;1750.0
273004204;311.1111111111111
274328232;750.0
275752259;1900.0
288274490;5733.333333333333
288370376;2100.0
291842666;0.0
293674256;4400.0
300083874;320.0
308250320;6925.0
313305412;0.0
317471244;3511.111111111112
319267547;35725.0
321521323;29840.0
323412378;9433.333333333334
324298510;11680.0
325613699;16200.0
346546745;4500.0
349674868;9950.0
372404391;0.0
378413279;3050.0
382536584;8866.666666666666
391556924;0.0
397923236;8125.0
401198820;16233.333333333334
405759690;14666.666666666666
406062102;36033.333333333336
408180986;11125.0
410538426;0.0
414784952;333.3333333333333
415800528;5800.0
416454054;0.0
416511899;2320.0
423774395;25985.714285714286
424012839;2700.0
427010071;41600.0
429354746;44000.0
433526858;1500.0
438990803;1100.0
442964447;9983.333333333334
442993625;400.0
452173000;17125.0
461762765;13966.666666666666
462006654;39800.0
477613004;2766.6666666666665
477624707;1260.0
481733981;5000.0
484400274;0.0
484408410;6125.0
488311233;7500.0
488311900;12880.0
488312043;2000.0
488312124;237.5
488312205;1604.0
488312396;228.57142857142856
488312477;616.6666666666666
488312558;0.0
488312639;3140.0
488312710;1216.6666666666667
488312809;1547.571428571429
488312981;3828.571428571429
488313015;1555.3333333333333
488313104;1320.0
488313287;1388.8333333333333
488313368;25814.28571428572
488313449;5050.0
488313520;3555.333333333333
488313600;3120.0
488313791;2500.0
488313872;4160.0
488313953;281.25
488314097;6416.5
488314178;2670.0
488314259;555.5555555555555
488314330;2314.285714285714
488314410;5800.0
488314500;2156.0
488314682;3000.0
488314763;3333.333333333333
488314844;960.0
488314925;750.0
488315069;918.2857142857144
488315140;0.0
488315220;0.0
488315301;2443.333333333333
488315492;0.0
488315573;1200.0
488315654;5675.0
488315735;4375.0
488315816;0.0
488315905;1520.0
488316030;8050.0
488316111;4820.0
488316200;4444.333333333333
488316383;1560.0
488316464;650.6666666666666
488316545;2083.25
488316626;8843.75
488316707;53833.333333333336
488316898;1980.0
488316979;3575.0
488317002;7237.5
488317193;0.0
488317274;1428.571428571429
488317355;1300.0
488317436;2812.5
488317517;5277.666666666667
488317606;2428.5714285714284
488317789;4444.333333333333
488317860;8293.75
488317940;3000.0
488318084;200.0
488318165;3347.1666666666665
488318246;1680.0
488318327;5833.25
488318408;2222.0
488318599;4942.857142857143
488318670;110733.33333333331
488318750;1875.0
488318831;6033.333333333333
488318912;2333.333333333333
488319056;3560.0
488319137;592.5555555555555
488319218;4333.333333333333
488319307;750.0
488319480;1885.7142857142856
488319560;200.0
488319641;3125.0
488319722;2000.0
488319803;0.0
488319994;1766.6666666666667
488320062;4000.0
488320143;2187.5
488320224;1888.888888888889
488320305;1071.428571428571
488320496;733.3333333333334
488320577;1611.0
488320658;5200.0
488320739;0.0
488490065;222.2
488490146;1137.5
488490227;0.0
488490308;1500.0
488490499;3325.0
488490570;23533.33333333333
488490650;1160.625
488490731;1500.0
488490812;200.0
488490901;1071.428571428571
488491037;1500.0
488491118;10000.0
488491207;8825.0
488491380;35300.0
488491460;960.0
488491541;6033.333333333333
488491622;2475.0
488491703;42500.0
488491894;0.0
488491975;0.0
488492009;0.0
488492190;1250.0
488492351;0.0
488492432;12840.0
488492513;0.0
488492602;0.0
488492785;3620.0
488492866;1371.428571428571
488492947;1750.0
488493080;0.0
488493161;1457.142857142857
488493242;2434.285714285714
488493323;816.3076923076923
488493404;1297.8333333333333
488493595;0.0
488493676;0.0
488493757;1916.5
488493838;0.0
488493919;17328.571428571428
488494052;3268.75
492115877;31100.0
508912199;400.0
509000487;1375.0
509388272;21780.0
510954839;107650.0
514468394;1250.0
514843071;15600.0
514874112;10800.0
515158739;17100.0
517879700;3920.0
519251415;2750.0
525321780;200.0
528070967;2500.0
528149040;5000.0
531119408;6720.0
531127419;1400.0
537810749;60000.0
560272065;59775.0
573665788;4433.333333333333
582897556;6916.666666666667
582897637;6333.25
582897807;0.0
582897980;625.0
582898013;408.1428571428572
582898102;1000.0
582898285;0.0
582898366;2000.0
582898447;1111.0
582898528;1200.0
582898609;13333.333333333334
582898790;2500.0
582898870;5820.0
582898951;5600.0
582899095;1468.75
582899176;3075.0
582899257;7514.285714285715
582899338;3004.1666666666665
582899419;2250.0
582899508;244.8571428571429
582899680;1875.0
582899761;476.1428571428572
582899842;5200.0
582899923;1700.0
582900018;4537.5
582900107;27250.0
582900280;4375.0
582900360;0.0
582900441;0.0
582900522;1675.0
582900603;2333.333333333333
582900794;1840.0
582900875;1337.5
582900956;2000.0
582901170;4300.0
582901251;1250.0
582901332;2125.0
582901413;13500.0
582901502;3355.333333333333
582901685;0.0
582901766;4400.0
582901847;28240.0
582901928;2500.0
582902061;1093.75
582902142;1300.0
582902223;3424.0
582902304;165.27272727272728
585173249;1828.571428571429
585173320;1800.0
585173400;4138.833333333333
585173591;3700.0
585173672;0.0
585173753;1464.0
585173834;10625.0
585173915;280.0
585174059;6120.0
585174130;1250.0
585174210;3614.285714285714
585174300;0.0
585174482;1600.0
585174563;11250.0
585174644;4000.0
585174806;3120.0
585174997;0.0
585175020;0.0
585175101;1652.0
585175292;1433.3333333333333
585175373;2187.5
585175454;0.0
585175535;1600.0
585175616;3500.0
585175705;8850.0
585175888;3360.0
585176000;5125.0
585176183;2660.0
585176264;1600.0
585176345;22600.0
585176426;0.0
585176507;3622.428571428572
585176698;4546.153846153846
585176779;4080.0
585176850;6643.75
585176930;5100.0
585177074;9375.0
585177155;5558.166666666667
585177236;777.6666666666666
